Country/Economy,Total GDP (US$MM),Agricultural,Industrial,Service,Agricultural (US$MM),Industrial (US$MM),Service (US$MM),country-code
China,23210000,7.9,40.5,51.6,1833590,9400050,11976360,156
European Union,20850111,1.6,25.1,70.9,333600,5233350,14782650,
United States of America,19490000,0.9,19.1,80.0,175410,3722590,15592000,840
India,9474000,15.4,23.0,61.6,1458996,2179020,5826510,356
Japan,5443000,1.1,30.1,68.7,59873,1638343,3739341,392
Germany,4199000,0.7,30.7,68.6,29393,1289093,2880514,276
Russian Federation,4016000,4.7,32.4,62.3,188752,1301184,2501968,643
Indonesia,3250000,13.7,41.0,45.4,445250,1332500,1475500,360
Brazil,3248000,6.6,20.7,72.7,214368,672336,2361296,076
France,2956000,1.7,20.2,79.2,49484,633473,2377684,250
United Kingdom,2925000,0.7,20.2,79.2,20475,590850,2316600,826
Mexico,2463000,3.6,31.9,64.5,88668,785697,1588635,484
Italy,2317000,2.1,23.9,73.9,48657,553763,1712263,380
Turkey,2186000,6.8,32.3,60.7,148648,706078,1326902,792
Korea, Republic of,2035000,2.2,39.3,58.3,44770,799755,1186405,410
Spain,1778000,2.6,23.2,74.2,46228,412496,1319276,724
Saudi Arabia,1775000,2.6,44.2,53.2,46150,784550,944300,682
Canada,1774000,1.6,28.2,70.2,28384,500268,1245348,124
Iran, Islamic Republic of,1640000,9.6,35.3,55.0,157440,578920,902000,364
Australia,1248000,3.6,25.3,71.2,44928,315744,888576,036
Thailand,1236000,8.2,36.2,55.6,101352,447432,687216,764
Egypt,1204000,11.7,34.3,54.0,140868,412972,650160,818
Taiwan,1189000,1.8,36.0,62.1,21402,428040,738369,158
Poland,1126000,2.4,40.2,57.4,27024,452652,646324,616
Nigeria,1121000,21.1,22.5,56.4,236531,252225,632244,566
Pakistan,1061000,24.4,19.1,56.5,258884,202651,599465,586
Malaysia,933300,8.8,37.6,53.6,82130,350921,500249,458
Netherlands,924400,1.6,17.9,70.2,14790,165468,648929,528
Argentina,922100,10.8,28.1,61.1,99587,259110,563403,032
Philippines,877200,9.6,30.6,59.8,84211,268423,524566,608
South Africa,767200,2.8,29.7,67.5,21482,227858,517860,710
Colombia,711600,7.2,30.8,62.1,51235,219173,441904,170
United Arab Emirates,696000,0.9,49.8,49.2,6264,346608,342432,784
Bangladesh,690300,14.2,29.3,56.5,98023,202258,390020,050
Iraq,649300,3.3,51.0,45.8,21427,331143,297379,368
Vietnam,648700,15.3,33.3,51.3,99251,216017,332783,704
Algeria,630000,13.3,39.3,47.4,83790,247590,298620,012
Belgium,529200,0.7,22.1,77.2,3704,116953,408542,056
Singapore,528100,0.0,24.8,75.2,0,130969,397131,702
Switzerland,523100,0.7,25.6,73.7,3662,133914,385525,756
Sweden,518000,1.6,33.0,65.4,8288,170940,338772,752
Romania,483400,4.2,33.2,62.6,20303,160489,302608,642
Kazakhstan,478600,4.7,34.1,61.2,22494,163203,292903,398
Hong Kong,455900,0.1,7.6,92.3,456,34648,420796,344
Chile,452100,4.2,32.8,63.0,18988,148289,284823,152
Austria,441000,1.3,28.4,70.3,5733,125244,310023,040
Peru,430300,7.6,32.7,59.9,32703,140708,257750,604
Venezuela, Bolivarian Republic of,381600,4.7,40.4,54.9,17935,154166,209498,862
Norway,381200,2.3,33.7,64.0,8768,128464,243968,578
Czechia,375900,2.3,36.9,60.8,8646,138707,228547,203
Ukraine,369600,12.2,28.6,60.0,45091,105706,221760,804
Ireland,353300,1.2,38.6,60.2,4240,136374,212687,372
Qatar,339500,0.2,50.3,49.5,679,170769,168053,634
Myanmar,329800,24.1,35.6,40.3,79482,117409,132909,104
Israel,317100,2.4,26.5,69.5,7610,84032,220385,376
Portugal,314100,2.2,22.1,75.7,6910,69416,237774,620
Greece,299300,4.1,16.9,79.1,12271,50582,236746,300
Morocco,298600,14.0,29.5,56.5,41804,88087,168709,504
Kuwait,289700,0.4,58.7,40.9,1159,170054,118487,414
Hungary,289600,3.9,31.3,64.8,11294,90645,187661,348
Denmark,287800,1.3,22.9,75.8,3741,65906,218152,208
Sri Lanka,275800,7.8,30.5,61.7,21512,84119,170169,144
Finland,244900,2.7,28.2,69.1,6612,69062,169226,246
Uzbekistan,223000,17.9,33.7,48.5,39917,75151,108155,860
Ethiopia,200600,34.8,21.6,43.6,69809,43330,87462,231
Angola,193600,10.2,61.4,28.4,19747,118870,54982,024
Ecuador,193000,6.7,32.9,60.4,12931,63497,116572,218
Oman,190100,1.8,46.4,51.8,3422,88206,98472,512
New Zealand,189000,5.7,21.5,72.8,10773,40635,137592,554
Slovakia,179700,3.8,35.0,61.2,6829,62895,109976,703
Belarus,179400,8.1,40.8,51.1,14531,73195,91673,112
Sudan,177400,39.6,2.6,57.8,70250,4612,102537,729
Dominican Republic,173000,5.6,33.0,61.4,9688,57090,106222,214
Azerbaijan,172200,6.1,53.5,40.4,10504,92127,69569,031
Kenya,163700,34.5,17.8,47.5,56477,29139,77758,404
Tanzania, United Republic of,162500,23.4,28.6,60.0,38025,46475,77350,834
Bulgaria,153500,4.3,28.0,67.4,6601,42980,103459,100
Guatemala,138100,13.3,23.4,63.2,18367,32315,87279,320
Tunisia,137700,10.1,26.2,63.8,13908,36077,87853,788
Cuba,137000,4.0,22.7,73.4,5480,31099,100558,192
Ghana,134000,18.3,24.5,57.2,24522,32830,76648,288
Puerto Rico,130000,0.8,50.1,49.1,1040,65130,63830,630
Serbia,105700,9.8,41.1,49.1,10359,43443,51899,688
Panama,104100,2.4,15.7,82.0,2498,16344,85362,591
Turkmenistan,103700,7.5,44.9,47.7,7778,46561,49465,795
Croatia,102100,3.7,26.2,70.1,3778,26750,71572,191
Côte d'Ivoire,97160,20.1,26.6,53.3,19529,25845,51786,384
Lithuania,91470,3.5,29.4,67.2,3201,26892,61468,440
Cameroon,89540,16.7,26.5,56.8,14953,23728,50859,120
Uganda,89190,28.2,21.1,50.7,25152,18819,45219,800
