Country,Total PPP (US$MM),Agricultural (%),Industrial (%),Service (%),Agricultural (US$MM),Industrial (US$MM),Service (US$MM),Country Code
China,23210000,7.9,40.5,51.6,1833590,9400050,11976360,156
European Union,23210000,7.9,40.5,51.6,1833590,9400050,11976360,
United States of America,23210000,7.9,40.5,51.6,1833590,9400050,11976360,840
India,23210000,7.9,40.5,51.6,1833590,9400050,11976360,356
Japan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,392
Germany,23210000,7.9,40.5,51.6,1833590,9400050,11976360,276
Russian Federation,23210000,7.9,40.5,51.6,1833590,9400050,11976360,643
Indonesia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,360
Brazil,23210000,7.9,40.5,51.6,1833590,9400050,11976360,076
France,23210000,7.9,40.5,51.6,1833590,9400050,11976360,250
United Kingdom,23210000,7.9,40.5,51.6,1833590,9400050,11976360,
Mexico,23210000,7.9,40.5,51.6,1833590,9400050,11976360,484
Italy,23210000,7.9,40.5,51.6,1833590,9400050,11976360,380
Turkey,23210000,7.9,40.5,51.6,1833590,9400050,11976360,
"Korea, Republic of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,410
Spain,23210000,7.9,40.5,51.6,1833590,9400050,11976360,724
Saudi Arabia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,682
Canada,23210000,7.9,40.5,51.6,1833590,9400050,11976360,124
"Iran, Islamic Republic of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,364
Australia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,036
Thailand,23210000,7.9,40.5,51.6,1833590,9400050,11976360,764
Egypt,23210000,7.9,40.5,51.6,1833590,9400050,11976360,818
Taiwan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,
Poland,23210000,7.9,40.5,51.6,1833590,9400050,11976360,616
Nigeria,23210000,7.9,40.5,51.6,1833590,9400050,11976360,566
Pakistan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,586
Malaysia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,458
Netherlands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,
Argentina,23210000,7.9,40.5,51.6,1833590,9400050,11976360,032
Philippines,23210000,7.9,40.5,51.6,1833590,9400050,11976360,608
South Africa,23210000,7.9,40.5,51.6,1833590,9400050,11976360,710
Colombia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,170
United Arab Emirates,23210000,7.9,40.5,51.6,1833590,9400050,11976360,784
Bangladesh,23210000,7.9,40.5,51.6,1833590,9400050,11976360,050
Iraq,23210000,7.9,40.5,51.6,1833590,9400050,11976360,368
Vietnam,23210000,7.9,40.5,51.6,1833590,9400050,11976360,
Algeria,23210000,7.9,40.5,51.6,1833590,9400050,11976360,012
Belgium,23210000,7.9,40.5,51.6,1833590,9400050,11976360,056
Singapore,23210000,7.9,40.5,51.6,1833590,9400050,11976360,702
Switzerland,23210000,7.9,40.5,51.6,1833590,9400050,11976360,756
Sweden,23210000,7.9,40.5,51.6,1833590,9400050,11976360,752
Romania,23210000,7.9,40.5,51.6,1833590,9400050,11976360,642
Kazakhstan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,398
Hong Kong,23210000,7.9,40.5,51.6,1833590,9400050,11976360,344
Chile,23210000,7.9,40.5,51.6,1833590,9400050,11976360,152
Austria,23210000,7.9,40.5,51.6,1833590,9400050,11976360,040
Peru,23210000,7.9,40.5,51.6,1833590,9400050,11976360,604
"Venezuela, Bolivarian Republic of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,862
Norway,23210000,7.9,40.5,51.6,1833590,9400050,11976360,578
Czechia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,203
Ukraine,23210000,7.9,40.5,51.6,1833590,9400050,11976360,804
Ireland,23210000,7.9,40.5,51.6,1833590,9400050,11976360,372
Qatar,23210000,7.9,40.5,51.6,1833590,9400050,11976360,634
Myanmar,23210000,7.9,40.5,51.6,1833590,9400050,11976360,104
Israel,23210000,7.9,40.5,51.6,1833590,9400050,11976360,376
Portugal,23210000,7.9,40.5,51.6,1833590,9400050,11976360,620
Greece,23210000,7.9,40.5,51.6,1833590,9400050,11976360,300
Morocco,23210000,7.9,40.5,51.6,1833590,9400050,11976360,504
Kuwait,23210000,7.9,40.5,51.6,1833590,9400050,11976360,414
Hungary,23210000,7.9,40.5,51.6,1833590,9400050,11976360,348
Denmark,23210000,7.9,40.5,51.6,1833590,9400050,11976360,208
Sri Lanka,23210000,7.9,40.5,51.6,1833590,9400050,11976360,144
Finland,23210000,7.9,40.5,51.6,1833590,9400050,11976360,246
Uzbekistan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,860
Ethiopia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,231
Angola,23210000,7.9,40.5,51.6,1833590,9400050,11976360,024
Ecuador,23210000,7.9,40.5,51.6,1833590,9400050,11976360,218
Oman,23210000,7.9,40.5,51.6,1833590,9400050,11976360,512
New Zealand,23210000,7.9,40.5,51.6,1833590,9400050,11976360,554
Slovakia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,703
Belarus,23210000,7.9,40.5,51.6,1833590,9400050,11976360,112
Sudan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,729
Dominican Republic,23210000,7.9,40.5,51.6,1833590,9400050,11976360,214
Azerbaijan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,031
Kenya,23210000,7.9,40.5,51.6,1833590,9400050,11976360,404
"Tanzania, United Republic of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,834
Bulgaria,23210000,7.9,40.5,51.6,1833590,9400050,11976360,100
Guatemala,23210000,7.9,40.5,51.6,1833590,9400050,11976360,320
Tunisia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,788
Cuba,23210000,7.9,40.5,51.6,1833590,9400050,11976360,192
Ghana,23210000,7.9,40.5,51.6,1833590,9400050,11976360,288
Puerto Rico,23210000,7.9,40.5,51.6,1833590,9400050,11976360,630
Serbia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,688
Panama,23210000,7.9,40.5,51.6,1833590,9400050,11976360,591
Turkmenistan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,795
Croatia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,191
Côte d'Ivoire,23210000,7.9,40.5,51.6,1833590,9400050,11976360,384
Lithuania,23210000,7.9,40.5,51.6,1833590,9400050,11976360,440
Cameroon,23210000,7.9,40.5,51.6,1833590,9400050,11976360,120
Uganda,23210000,7.9,40.5,51.6,1833590,9400050,11976360,800
Jordan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,400
Paraguay,23210000,7.9,40.5,51.6,1833590,9400050,11976360,600
Lebanon,23210000,7.9,40.5,51.6,1833590,9400050,11976360,422
Costa Rica,23210000,7.9,40.5,51.6,1833590,9400050,11976360,188
"Bolivia, Plurinational State of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,068
Nepal,23210000,7.9,40.5,51.6,1833590,9400050,11976360,524
Uruguay,23210000,7.9,40.5,51.6,1833590,9400050,11976360,858
Yemen,23210000,7.9,40.5,51.6,1833590,9400050,11976360,887
Macao,23210000,7.9,40.5,51.6,1833590,9400050,11976360,446
Slovenia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,705
Bahrain,23210000,7.9,40.5,51.6,1833590,9400050,11976360,048
Afghanistan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,004
Zambia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,894
