Country,Code,Year,Median income
Albania,ALB,2020,12.064707
Algeria,DZA,2011,8.043594
Angola,AGO,2018,3.4205022
Argentina,ARG,2022,17.290493
Armenia,ARM,2022,6.7156725
Australia,AUS,2018,53.050495
Austria,AUT,2021,58.25852
Azerbaijan,AZE,2005,8.059334
Bangladesh,BGD,2022,4.7816916
Belarus,BLR,2020,17.238052
Belgium,BEL,2021,54.49564
Belize,BLZ,1999,4.6116567
Benin,BEN,2021,4.0014644
Bhutan,BTN,2022,13.86247
Bolivia,BOL,2021,14.911999
Bosnia and Herzegovina,BIH,2011,17.60119
Botswana,BWA,2015,4.842955
Brazil,BRA,2022,12.991237
Bulgaria,BGR,2021,23.402508
Burkina Faso,BFA,2021,3.1207023
Burundi,BDI,2020,1.795875
Cameroon,CMR,2021,3.9085712
Canada,CAN,2019,56.303295
Cape Verde,CPV,2015,6.7278094
Central African Republic,CAF,2021,1.5665926
Chad,TCD,2022,3.106669
Chile,CHL,2022,19.984573
China,CHN,2021,12.008236
Colombia,COL,2022,9.6840725
Comoros,COM,2014,4.389313
Congo,COG,2011,2.9803798
Costa Rica,CRI,2023,17.262701
Cote d'Ivoire,CIV,2021,4.336595
Croatia,HRV,2021,28.754229
Cyprus,CYP,2021,45.669167
Czech Republic,CZE,2021,36.751797
Congo DRC,COD,2020,1.1797127
Denmark,DNK,2021,57.08956
Djibouti,DJI,2017,4.0851326
Dominican Republic,DOM,2022,11.336495
Timor Leste,TLS,2014,2.8969195
Ecuador,ECU,2023,10.501099
Egypt,EGY,2019,5.422779
El Salvador,SLV,2022,10.355628
Estonia,EST,2021,40.0546
Eswatini,SWZ,2016,2.9537303
Ethiopia,ETH,2015,3.0618846
Fiji,FJI,2019,6.643387
Finland,FIN,2021,51.83912
France,FRA,2021,49.779552
Gabon,GAB,2017,9.673192
Gambia,GMB,2020,3.8196523
Georgia,GEO,2022,7.081152
Germany,DEU,2020,59.369686
Ghana,GHA,2016,3.7379272
Greece,GRC,2021,26.430964
Grenada,GRD,2018,14.055036
Guatemala,GTM,2014,6.169567
Guinea,GIN,2018,3.8037891
Guinea-Bissau,GNB,2021,3.1120498
Guyana,GUY,1998,6.042705
Haiti,HTI,2012,1.7051569
Honduras,HND,2019,6.9277115
Hungary,HUN,2021,28.789747
Iceland,ISL,2017,56.521667
India,IND,2021,3.9418383
Indonesia,IDN,2023,5.7831755
Iran,IRN,2022,10.912499
Iraq,IRQ,2012,9.614323
Ireland,IRL,2021,50.1327
Israel,ISR,2021,32.92121
Italy,ITA,2021,43.379395
Jamaica,JAM,2021,15.188954
Japan,JPN,2013,41.49211
Jordan,JOR,2010,13.392007
Kazakhstan,KAZ,2021,10.810688
Kenya,KEN,2021,2.6132443
Kiribati,KIR,2019,5.325838
Kosovo,OWID_KOS,2017,8.108823
Kyrgyzstan,KGZ,2022,6.0340743
Laos,LAO,2018,4.7573843
Latvia,LVA,2021,30.76944
Lebanon,LBN,2011,26.116678
Lesotho,LSO,2017,3.2375739
Liberia,LBR,2016,3.0950387
Lithuania,LTU,2021,34.91118
Luxembourg,LUX,2021,79.70014
Madagascar,MDG,2012,1.1187238
Malawi,MWI,2019,1.5339028
Malaysia,MYS,2021,25.865078
Maldives,MDV,2019,15.8306
Mali,MLI,2021,3.3488104
Malta,MLT,2020,48.106636
Marshall Islands,MHL,2019,9.188247
Mauritania,MRT,2019,5.2766995
Mauritius,MUS,2017,12.731154
Mexico,MEX,2022,11.628478
Micronesia,FSM,2013,4.2220106
Moldova,MDA,2021,10.60901
Mongolia,MNG,2022,10.326545
Montenegro,MNE,2021,16.274788
Morocco,MAR,2013,7.7121487
Mozambique,MOZ,2019,1.2939788
Myanmar,MMR,2017,5.47138
Namibia,NAM,2015,5.6841736
Nauru,NRU,2012,5.6519923
Nepal,NPL,2022,7.4121175
Netherlands,NLD,2021,59.726303
Nicaragua,NIC,2014,8.074234
Niger,NER,2021,2.1318378
Nigeria,NGA,2018,2.9532702
North Macedonia,MKD,2019,13.475552
Norway,NOR,2019,65.29984
Pakistan,PAK,2018,4.0731707
Palestine,PSE,2016,11.421007
Panama,PAN,2023,19.735992
Papua New Guinea,PNG,2009,2.6180224
Paraguay,PRY,2022,12.639644
Peru,PER,2022,9.394887
Philippines,PHL,2021,4.9763155
Poland,POL,2021,33.879444
Portugal,PRT,2021,29.239334
Qatar,QAT,2017,74.374855
Romania,ROU,2021,23.197407
Russia,RUS,2020,17.48153
Rwanda,RWA,2016,2.0738049
Saint Lucia,LCA,2015,13.024724
Samoa,WSM,2013,7.5771036
Sao Tome and Principe,STP,2017,3.998577
Senegal,SEN,2021,4.4646606
Serbia,SRB,2021,16.992344
Seychelles,SYC,2018,19.497965
Sierra Leone,SLE,2018,2.9593496
Slovakia,SVK,2021,23.478302
Slovenia,SVN,2021,43.440727
Solomon Islands,SLB,2012,3.103404
South Africa,ZAF,2014,4.7534223
South Korea,KOR,2021,50.183186
South Sudan,SSD,2016,1.5208117
Spain,ESP,2021,41.36567
Sri Lanka,LKA,2019,6.91304
Sudan,SDN,2014,3.6616235
Suriname,SUR,2022,13.008748
Sweden,SWE,2021,51.530468
Switzerland,CHE,2020,65.79692
Syria,SYR,2022,2.959133
Taiwan,TWN,2021,42.18017
Tajikistan,TJK,2015,5.334834
Tanzania,TZA,2018,2.3307555
Thailand,THA,2021,12.927706
Togo,TGO,2021,3.2011387
Tonga,TON,2021,9.959987
Trinidad and Tobago,TTO,1992,10.1245775
Tunisia,TUN,2021,11.934058
Turkiye,TUR,2021,19.567127
Turkmenistan,TKM,1998,2.3988008
Tuvalu,TUV,2010,6.2684546
Uganda,UGA,2019,2.4753115
Ukraine,UKR,2020,12.599212
United Arab Emirates,ARE,2018,74.25184
United Kingdom,GBR,2021,46.870113
United States,USA,2022,62.40085
Uruguay,URY,2022,20.99745
Uzbekistan,UZB,2022,12.050619
Vanuatu,VUT,2019,4.6742573
Venezuela,VEN,2006,8.490453
Vietnam,VNM,2022,11.452532
Yemen,YEM,2014,3.4357183
Zambia,ZMB,2022,1.4850891
Zimbabwe,ZWE,2019,2.6548173
