Economy,Global rank,Starting a business,Dealing with construction permits,Getting electricity,Registering property,Getting credit,Protecting minority investors,Paying taxes,Trading across borders,Enforcing contracts,Resolving insolvency
New Zealand,1.0,1.0,7.0,48.0,2.0,1.0,3.0,9.0,63.0,23.0,36.0
Singapore,2.0,4.0,5.0,19.0,21.0,37.0,3.0,7.0,47.0,1.0,27.0
Hong Kong,3.0,5.0,1.0,3.0,51.0,37.0,7.0,2.0,29.0,31.0,45.0
Denmark,4.0,45.0,4.0,21.0,11.0,48.0,28.0,8.0,1.0,14.0,6.0
South Korea,5.0,33.0,12.0,2.0,40.0,67.0,25.0,21.0,36.0,2.0,11.0
United States,6.0,55.0,24.0,64.0,39.0,4.0,36.0,25.0,39.0,17.0,2.0
Georgia,7.0,2.0,21.0,42.0,5.0,15.0,7.0,14.0,45.0,12.0,64.0
United Kingdom,8.0,18.0,23.0,8.0,41.0,37.0,7.0,27.0,33.0,34.0,14.0
Norway,9.0,25.0,22.0,44.0,15.0,94.0,21.0,34.0,22.0,3.0,5.0
Sweden,10.0,39.0,31.0,10.0,9.0,80.0,28.0,31.0,18.0,39.0,17.0
Lithuania,11.0,34.0,10.0,15.0,4.0,48.0,37.0,18.0,19.0,7.0,89.0
Malaysia,12.0,126.0,2.0,4.0,33.0,37.0,2.0,80.0,49.0,35.0,40.0
Mauritius,13.0,20.0,8.0,28.0,23.0,67.0,18.0,5.0,72.0,20.0,28.0
Australia,14.0,7.0,11.0,62.0,42.0,4.0,57.0,28.0,106.0,6.0,20.0
Taiwan,15.0,21.0,6.0,9.0,20.0,104.0,21.0,39.0,61.0,11.0,23.0
United Arab Emirates,16.0,17.0,3.0,1.0,10.0,48.0,13.0,30.0,92.0,9.0,80.0
North Macedonia,17.0,78.0,15.0,68.0,48.0,25.0,12.0,37.0,32.0,47.0,30.0
Estonia,18.0,14.0,19.0,53.0,6.0,48.0,79.0,12.0,17.0,8.0,54.0
Latvia,19.0,26.0,56.0,61.0,25.0,15.0,45.0,16.0,28.0,15.0,55.0
Finland,20.0,31.0,42.0,24.0,34.0,80.0,61.0,10.0,37.0,45.0,1.0
Thailand,21.0,47.0,34.0,6.0,67.0,48.0,3.0,68.0,62.0,37.0,24.0
Germany,22.0,125.0,30.0,5.0,76.0,48.0,61.0,46.0,42.0,13.0,4.0
Canada,23.0,3.0,64.0,124.0,36.0,15.0,7.0,19.0,51.0,100.0,13.0
Ireland,24.0,23.0,36.0,47.0,60.0,48.0,13.0,4.0,52.0,91.0,19.0
Kazakhstan,25.0,22.0,37.0,67.0,24.0,25.0,7.0,64.0,105.0,4.0,42.0
Iceland,26.0,64.0,72.0,16.0,16.0,94.0,28.0,42.0,53.0,33.0,12.0
Austria,27.0,127.0,49.0,29.0,31.0,94.0,37.0,44.0,1.0,10.0,22.0
Russia,28.0,40.0,26.0,7.0,12.0,25.0,72.0,58.0,99.0,21.0,57.0
Japan,29.0,106.0,18.0,14.0,43.0,94.0,57.0,51.0,57.0,50.0,3.0
Spain,30.0,97.0,79.0,55.0,59.0,80.0,28.0,35.0,1.0,26.0,18.0
China,31.0,27.0,33.0,12.0,28.0,80.0,28.0,105.0,56.0,5.0,51.0
France,32.0,37.0,52.0,17.0,99.0,104.0,45.0,61.0,1.0,16.0,26.0
Turkey,33.0,77.0,53.0,41.0,27.0,37.0,21.0,26.0,44.0,24.0,120.0
Azerbaijan,34.0,9.0,59.0,80.0,44.0,1.0,105.0,40.0,83.0,28.0,47.0
Israel,35.0,28.0,35.0,83.0,75.0,48.0,18.0,13.0,67.0,85.0,29.0
Switzerland,36.0,81.0,71.0,13.0,18.0,67.0,105.0,20.0,26.0,57.0,49.0
Slovenia,37.0,41.0,119.0,23.0,54.0,119.0,18.0,45.0,1.0,112.0,8.0
Rwanda,38.0,35.0,81.0,59.0,3.0,4.0,114.0,38.0,88.0,32.0,62.0
Portugal,39.0,63.0,60.0,52.0,35.0,119.0,61.0,43.0,1.0,38.0,15.0
Poland,40.0,128.0,39.0,60.0,92.0,37.0,51.0,77.0,1.0,55.0,25.0
Czech Republic,41.0,134.0,157.0,11.0,32.0,48.0,61.0,53.0,1.0,103.0,16.0
Netherlands,42.0,24.0,88.0,58.0,30.0,119.0,79.0,22.0,1.0,78.0,7.0
Bahrain,43.0,67.0,17.0,72.0,17.0,94.0,51.0,1.0,77.0,59.0,60.0
Serbia,44.0,73.0,9.0,94.0,58.0,67.0,37.0,85.0,23.0,65.0,41.0
Slovakia,45.0,118.0,146.0,54.0,8.0,48.0,88.0,55.0,1.0,46.0,46.0
Belgium,46.0,48.0,45.0,108.0,139.0,67.0,45.0,63.0,1.0,56.0,9.0
Armenia,47.0,10.0,62.0,30.0,13.0,48.0,120.0,52.0,43.0,30.0,95.0
Moldova,48.0,13.0,156.0,84.0,22.0,48.0,45.0,33.0,38.0,62.0,67.0
