Country,Total PPP (US$MM),Service (%),Service (US$MM),Country Code,Daily Median Income
China,23210000,51.6,11976360,156,12.008236
United States of America,19490000,80.0,15592000,840,62.40085
India,9474000,61.6,5826510,356,3.9418383
Japan,5443000,68.7,3739341,392,41.49211
Germany,4199000,68.6,2880514,276,59.369686
Russia,4016000,62.3,2501968,643,17.48153
Indonesia,3250000,45.4,1475500,360,5.7831755
Brazil,3248000,72.7,2361296,76,12.991237
France,2956000,79.2,2377684,250,49.779552
United Kingdom,2925000,79.2,2316600,826,46.870113
Mexico,2463000,64.5,1588635,484,11.628478
Italy,2317000,73.9,1712263,380,43.379395
Turkey,2186000,60.7,1326902,792,19.567127
South Korea,2035000,58.3,1186405,410,50.183186
Spain,1778000,74.2,1319276,724,41.36567
Saudi Arabia,1775000,53.2,944300,682,
Canada,1774000,70.2,1245348,124,56.303295
Iran,1640000,55.0,902000,364,10.912499
Australia,1248000,71.2,888576,36,53.050495
Thailand,1236000,55.6,687216,764,12.927706
Egypt,1204000,54.0,650160,818,5.422779
Taiwan,1189000,62.1,738369,158,42.18017
Poland,1126000,57.4,646324,616,33.879444
Nigeria,1121000,56.4,632244,566,2.9532702
Pakistan,1061000,56.5,599465,586,4.0731707
Malaysia,933300,53.6,500249,458,25.865078
Netherlands,924400,70.2,648929,528,59.726303
Argentina,922100,61.1,563403,32,17.290493
Philippines,877200,59.8,524566,608,4.9763155
South Africa,767200,67.5,517860,710,4.7534223
Colombia,711600,62.1,441904,170,9.6840725
United Arab Emirates,696000,49.2,342432,784,74.25184
Bangladesh,690300,56.5,390020,50,4.7816916
Iraq,649300,45.8,297379,368,9.614323
Vietnam,648700,51.3,332783,704,11.452532
Algeria,630000,47.4,298620,12,8.043594
Belgium,529200,77.2,408542,56,54.49564
Singapore,528100,75.2,397131,702,
Switzerland,523100,73.7,385525,756,65.79692
Sweden,518000,65.4,338772,752,51.530468
Romania,483400,62.6,302608,642,23.197407
Kazakhstan,478600,61.2,292903,398,10.810688
Hong Kong,455900,92.3,420796,344,
Chile,452100,63.0,284823,152,19.984573
Austria,441000,70.3,310023,40,58.25852
Peru,430300,59.9,257750,604,9.394887
Venezuela,381600,54.9,209498,862,8.490453
Norway,381200,64.0,243968,578,65.29984
Czech Republic,375900,60.8,228547,203,36.751797
Ukraine,369600,60.0,221760,804,12.599212
Ireland,353300,60.2,212687,372,50.1327
Qatar,339500,49.5,168053,634,74.374855
Myanmar,329800,40.3,132909,104,5.47138
Israel,317100,69.5,220385,376,32.92121
Portugal,314100,75.7,237774,620,29.239334
Greece,299300,79.1,236746,300,26.430964
