City,Development score,Capital raised,Growth score,Deal count,Exit value,Latitude,Longitude
San Francisco,89.5,427.6,28.2,19898,766.3,37.7749,-122.4194
New York,76.0,179.9,41.5,13594,171.7,40.7128,-74.006
Beijing,75.6,161.2,15.4,8835,279.2,39.9042,116.4074
Shanghai,72.9,130.3,26.5,7422,186.8,31.2304,121.4737
Los Angeles,71.4,144.6,39.9,9781,181.4,34.0522,-118.2437
Boston,70.4,117.0,34.8,6044,172.8,42.3554334,-71.060511
London,64.0,99.0,38.8,11533,71.9,51.4893335,-0.14405508452768728
Shenzhen,62.7,46.4,45.3,5020,66.3,22.5445741,114.0545429
Seoul,61.1,31.1,52.1,6196,71.0,37.5666791,126.9782914
Tokyo,60.2,26.2,66.6,5590,28.0,35.6768601,139.7638947
Hangzhou,59.1,50.7,20.5,3361,88.7,30.2489634,120.2052342
Washington D.C.,54.7,43.7,61.7,2706,28.2,38.8950368,-77.0365427
Seattle,53.5,31.7,26.3,2693,35.6,47.6038321,-122.330062
Singapore,52.2,45.7,74.8,4507,38.0,1.357107,103.8194992
San Diego,52.0,33.5,35.5,2023,44.7,32.7174202,-117.162772
Austin,51.8,26.4,46.6,2636,22.9,30.2711286,-97.7436995
Guangzhou,51.7,24.7,50.9,1700,24.0,23.1301964,113.2592945
Tel Aviv,51.0,21.0,39.7,1936,32.2,32.0852997,34.7818064
Denver,50.6,26.8,51.1,2489,29.9,39.7392364,-104.984862
Berlin,50.4,31.2,27.9,2469,15.9,52.510885,13.3989367
Suzhou,49.7,15.1,49.0,2207,29.2,31.311123,120.6212881
Paris,49.5,32.8,64.4,3677,6.6,48.8588897,2.3200410217200766
São Paulo,48.6,17.0,46.0,1685,43.9,-23.5506507,-46.6333824
Chicago,47.2,28.8,31.5,2377,11.6,41.8755616,-87.6244212
Salt Lake City,46.9,13.1,18.2,1172,24.3,40.7596198,-111.886797
Hong Kong,46.6,19.6,27.8,982,30.9,22.2793278,114.1628131
Stockholm,44.8,28.7,26.1,1775,27.5,59.3251172,18.0710935
Toronto,44.3,15.2,42.8,2024,7.1,43.6534817,-79.3839347
Philadelphia,43.1,25.8,53.2,3014,12.9,39.9527237,-75.1635262
Miami,42.6,21.7,50.3,2216,9.4,25.7741728,-80.19362
Nanjing,42.4,16.3,58.7,1419,15.6,32.0438284,118.7788631
Mumbai,42.2,15.7,45.1,1767,10.9,19.0785451,72.878176
Chengdu,41.8,8.3,59.7,1259,8.1,30.6598628,104.0633717
Bengaluru,41.1,32.2,42.7,1668,17.6,12.9767936,77.590082
Amsterdam,40.7,11.3,68.7,1176,10.6,52.3730796,4.8924534
Dallas,40.4,10.8,25.4,1346,12.0,32.7762719,-96.7968559
Atlanta,39.0,13.1,35.4,1550,6.6,33.7489924,-84.3902644
Vancouver,38.3,6.7,10.4,1010,10.0,49.2608724,-123.113952
Changsha,37.9,8.8,43.3,443,10.2,28.1450774,113.2384362
Munich,37.6,11.3,48.0,986,3.9,48.1371079,11.5753822
Wuxi,37.5,4.6,71.8,513,7.9,31.5776626,120.2952752
Raleigh,36.6,15.0,45.6,1075,7.3,35.7803977,-78.6390989
Sydney,36.3,7.8,35.4,1141,5.1,-33.8698439,151.2082848
Hefei,36.1,9.3,86.5,735,11.1,31.8665676,117.281428
Phoenix,36.0,9.8,50.1,850,11.9,33.4484367,-112.074141
Minneapolis,36.0,11.6,44.8,987,16.1,44.9772995,-93.2654692
Montreal,35.9,7.3,37.6,768,3.0,45.5031824,-73.5698065
Gurugram,34.9,13.3,29.0,826,17.0,28.4646148,77.0299194
Portland,34.6,6.1,36.1,903,10.6,45.5202471,-122.674194
Houston,34.1,9.4,63.8,1044,5.1,29.7589382,-95.3676974
